MaxSpend Income Partner Dependents Sex Age
40000 46000 0 1 F 30
65000 58000 0 0 F 23
45000 31000 0 1 F 31
23000 41000 1 1 F 22
55000 32000 1 0 M 33
80000 137000 1 1 M 33
30000 34000 0 1 F 36
65000 78000 1 1 M 39
45000 223000 0 0 F 30
40000 40000 0 0 M 40
60000 86000 1 1 M 36
80000 92000 1 1 F 41
40000 28000 1 1 M 28
80000 62000 0 1 F 23
80000 141000 1 0 M 66
45000 79000 0 0 M 31
40000 45000 0 0 F 26
80000 27000 0 0 M 37
1e+05 49000 1 1 M 28
110000 30000 0 0 M 33
40000 170000 1 1 F 63
35000 40000 1 1 F 40
35000 30000 0 0 F 34
50000 78000 1 1 M 45
60000 50000 1 0 M 32
50000 39000 0 1 M 34
45000 61000 0 1 M 34
50000 112000 0 1 F 31
65000 69000 1 1 F 30
50000 70000 1 1 M 28
150000 225000 0 0 M 52
34000 88000 0 0 F 51
65000 139000 1 1 F 39
50000 48000 1 1 M 36
24000 42000 1 1 F 29
45000 60000 1 0 M 30
70000 30000 0 0 M 25
160000 345000 0 0 M 60
65000 109000 1 1 M 34
1e+05 93000 1 1 M 38
45000 191000 1 1 F 40
40000 49000 0 0 M 16
50000 30000 0 1 M 33
50000 66000 0 0 M 49
65000 64000 0 0 M 26
45000 53000 0 0 F 28
65000 75000 0 0 F 41
50000 69000 0 1 M 27
33000 60000 0 1 F 43
60000 33000 0 1 M 34
35000 190000 1 1 F 56
50000 33000 0 0 M 52
55000 41000 0 1 F 25
65000 127000 1 1 M 30
75000 80000 0 1 M 33
31000 60000 0 1 F 21
34000 33000 1 1 F 34
40000 133000 1 1 F 50
60000 93000 1 1 M 35
55000 79000 1 1 M 35
45000 62000 0 1 F 56
31000 31000 0 1 F 40
45000 35000 1 1 F 28
60000 62000 1 0 M 28
50000 142000 1 1 M 39
45000 35000 1 1 F 26
55000 3e+05 0 1 M 35
60000 68000 1 1 F 31
65000 55000 0 1 F 31
65000 45000 0 0 M 41
70000 96000 1 0 M 42
70000 49000 1 1 M 35
80000 117000 0 0 F 27
60000 57000 0 0 M 36
50000 35000 0 1 F 25
50000 60000 1 0 F 23
65000 54000 0 0 M 30
60000 53000 0 0 M 27
65000 75000 1 1 M 38
40000 104000 1 1 F 31
45000 38000 0 1 F 26
80000 23000 0 0 M 29
1e+05 137000 0 1 M 50
75000 183000 1 1 M 47
60000 75000 1 0 M 57
65000 27000 0 1 M 29
33000 34000 1 1 F 23
70000 67000 0 0 M 22
60000 50000 1 1 F 50
45000 77000 0 1 F 40
130000 179000 0 0 M 64
60000 31000 0 1 F 31
80000 31000 1 1 F 32
45000 56000 1 0 M 46
28000 43000 0 1 F 32
45000 59000 1 1 F 26
35000 83000 0 1 F 32
55000 48000 0 0 M 23
80000 276000 0 1 F 45
50000 63000 1 0 M 42
35000 40000 1 1 F 35
45000 34000 0 1 F 22
45000 49000 1 1 F 31
60000 42000 1 0 M 27
35000 64000 0 1 F 32
80000 171000 1 0 M 52
60000 95000 0 1 M 27
65000 38000 0 0 M 28
70000 65000 0 1 F 50
70000 83000 0 0 M 37
90000 54000 1 1 M 34
65000 69000 1 0 M 52
55000 48000 0 0 M 43
65000 176000 1 1 F 25
80000 301000 1 1 M 56
45000 71000 1 1 F 36
55000 50000 0 1 F 26
55000 112000 1 1 M 56
70000 57000 0 0 M 33
50000 115000 1 0 F 24
75000 43000 0 0 M 34
30000 65000 1 1 F 47
