Posted Holiday Speed
50 Y 47.7
50 Y 50.2
50 Y 44.2
50 N 55.3
50 Y 53.7
50 Y 50.4
50 Y 58
50 Y 44.9
50 Y 46.6
50 Y 52.4
60 Y 58.7
60 Y 60.8
60 Y 63.1
60 Y 58.7
60 Y 59.5
60 Y 62.9
60 Y 62
60 Y 55.8
60 Y 60.2
60 Y 61.4
60 Y 59.2
60 N 69.2
60 Y 61.5
60 N 65.1
60 Y 58.4
60 Y 61.2
60 Y 65.6
60 Y 60.5
60 Y 59.8
60 Y 59.1
60 N 63.5
60 Y 68.7
60 N 67.6
70 Y 69.2
70 Y 67.7
70 Y 72.5
70 N 70.2
70 N 76.6
70 Y 72.8
70 Y 71.4
70 Y 71.2
70 Y 72.2
70 Y 70
70 N 75.2
70 Y 63
70 Y 68.3
70 N 81.5
70 Y 74.7
70 Y 74.8
70 Y 67.8
70 Y 68.9
70 Y 74.1
70 N 73.9
70 Y 71.8
70 Y 69.7
70 Y 76.6
70 N 72
70 Y 72.3
70 Y 70.5
70 Y 70.7
70 Y 72.2
70 Y 70.1
70 Y 71.1
70 Y 69.4
70 Y 74.4
70 Y 73.3
70 Y 68.5
70 Y 66.6
70 Y 67.9
70 Y 74.2
70 N 72.9
70 Y 67.5
70 N 79.9
70 Y 64.1
70 Y 68
70 N 71.9
70 Y 71.2
70 Y 72.6
80 Y 79.9
80 Y 80.6
80 Y 83.6
80 Y 81.8
80 N 87.9
80 Y 78.9
80 Y 80
80 Y 79.9
80 Y 80.4
80 N 90.2
80 Y 82.6
80 Y 74.5
80 N 85.6
80 Y 81.1
80 Y 78.4
80 Y 77.3
80 Y 77.9
80 Y 78.2
80 Y 76.6
80 N 87.5
80 Y 79.3
80 Y 72.8
80 Y 77.3
80 Y 80.7
80 Y 82.5
80 Y 76.6
80 Y 80.3
80 Y 79.8
80 Y 79.1
80 Y 78.7
80 Y 81.2
80 N 79.1
90 N 88.7
90 Y 91.5
90 N 91
90 Y 89.3
90 Y 90.3
90 Y 93.4
90 N 90.8
90 Y 88.6
90 Y 91.6
90 Y 88.8
90 Y 88.9
90 Y 91.6
90 N 92.1
90 Y 87.2
90 N 94.9
90 Y 87.4
90 Y 89.7
90 Y 94.9
90 Y 89.4
90 Y 93.8
90 N 92.5
100 Y 100.2
100 Y 100.9
100 Y 97.3
100 Y 102.3
100 N 106.2
100 N 102
100 Y 101.1
100 Y 104.4
100 Y 101.4
100 Y 100.7
100 Y 102.8
100 Y 99.1
100 Y 100.2
100 Y 97.3
100 Y 97.6
100 Y 98.9
100 N 108.9
100 Y 95.5
100 Y 95.3
100 Y 100.9
100 N 107.6
100 Y 97.6
100 Y 99.2
100 N 104.4
100 Y 97.2
100 Y 102.7
100 Y 101.6
100 Y 103.2
100 Y 101.7
100 Y 100.9
100 Y 98
100 Y 103.4
100 Y 109.4
100 Y 99.1
100 Y 101.5
100 Y 102.5
100 Y 100.9
100 Y 100.3
100 Y 98.1
100 Y 97.1
100 Y 103.5
100 Y 101.2
100 Y 100.8
100 Y 97.4
100 N 98.8
100 Y 101.7
100 Y 101
100 Y 101.9
100 Y 97.3
100 Y 99
100 N 103.1
100 Y 100.2
100 Y 99.2
100 Y 102.3
100 Y 102.2
100 Y 102.1
100 N 102.5
100 Y 101.5
100 Y 106.9
100 Y 101.7
100 Y 100.1
100 N 106.5
100 Y 101.7
100 Y 100.7
100 Y 103.2
100 N 105.7
100 Y 100.8
100 Y 98.8
100 Y 100.1
100 Y 100.8
100 Y 99.2
100 Y 97.7
100 Y 105
100 N 104.4
100 N 108
100 Y 100.1
100 Y 98.2
100 Y 100.6
100 Y 102.7
100 Y 104
100 N 105.2
100 Y 99.5
100 N 104.7
100 N 111.7
100 Y 101.5
100 Y 97.4
100 Y 97.3
100 N 102.3
100 Y 103
100 Y 102
100 Y 104
100 Y 95.8
100 Y 101.8
100 Y 101.2
100 Y 91.8
100 Y 99.5
100 Y 99.6
100 Y 100.2
100 N 111.5
100 Y 98.1
100 Y 98
100 Y 97.9
100 N 104.5
100 Y 99
100 Y 99.3
100 N 106.2
100 N 109
100 Y 95.5
100 Y 103.2
100 Y 103
100 Y 101.7
100 Y 100.8
100 Y 104.5
